,movie_title,movie_info,date,genres,content_rating,directors,writers,actors,tomatometer_rating,IMDB_rating,twit_mean_rating,Poster,streaming
0,'71,A young British soldier (Jack O'Connell) must find his way back to safety after his unit accidentally abandons him during a riot in the streets of Belfast.,2014,"Action & Adventure, Drama",PG-13,Yann Demange,Gregory Burke,"Jack O'Connell, Sean Harris, Jack Lowden, Charlie Murphy, Paul Anderson, Richard Dormer, Martin McCann, David Wilmot, Killian Scott, Paul Popplewell, Babou Ceesay, Corey McKinley, Valene Kane, Ben Peel, Sam Hazeldine, Gerard Jordan, Sam Reid, Barry Keoghan, Dawn Bradfield, Liam McMahon, Joshua Hill, Adam Nagaitis, Ben Williams-Lee, Jonah Russell, Harry Verity, Peter McNeil O'Connor, James McArdle, Andy Moore, Amy Molloy, Aaron Lynch, Tom Cowling, Aaron Monaghan, Eabha MacCabe, Paul Kennedy, Emmet Kirwan, Barry Barnes, Chris Patrick Simpson, Terence Keeley, Jim Sturgeon, Gregory Burke, Cathy White, Joshua Hill Lewis",9.6,7.2,7.354838709677419,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1NjE5Njg4M15BMl5BanBnXkFtZTgwMzEyODAzNDE@._V1_UX182_CR0,0,182,268_AL_.jpg",Hulu
1,10 Things I Hate About You,"Kat Stratford (Julia Stiles) is beautiful, smart and quite abrasive to most of her fellow teens, meaning that she doesn't attract many boys. Unfortunately for her younger sister, Bianca (Larisa Oleynik), house rules say that she can't date until Kat has a boyfriend, so strings are pulled to set the dour damsel up for a romance. Soon Kat crosses paths with handsome new arrival Patrick Verona (Heath Ledger). Will Kat let her guard down enough to fall for the effortlessly charming Patrick?",1999,Comedy,PG-13,Gil Junger,"Karen McCullah Lutz, Kirsten Smith","Larisa Oleynik, Julia Stiles, Heath Ledger, Andrew Keegan, Joseph Gordon-Levitt, David Krumholtz, Susan May Pratt, Gabrielle Union, Larry Miller, Daryl 'Chill' Mitchell, Allison Janney, David Leisure, Greg Jackson, Kyle Cease, Tarance Houston, Fraser Cameron, Eric Reidman, Quinn Maixner, Demegio Kimbrough, Todd Butler, Benjamin Laurence, Aidan Kennedy, Jelani Quinn, Joshua Thorpe, Heather Taylor, Brian Hood, Aaron Therol, Alice Evans, Travis B. Miller, Laura Kenny, Dennis Mosley, Bianca Kajlich, Nick Vukelic, Jesse Dyer, Carlos La Camara, J.R. Johnson, Wendy Gottlieb, Ari Karczag, Jesper Inglis, Nick Brown, Monique Powell, Brian Mashburn, Kay Hanley, Michael Eisenstein, Craig Hoskins",6.9,7.3,7.6521739130434785,"https://images-na.ssl-images-amazon.com/images/M/MV5BMmVhZjhlZDYtMDAwZi00MDcyLTgzOTItOWNiZjY0YmE0MGE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","Amazon Prime, Disney Plus, Hulu"
2,"10,000 B.C.","Mammoth hunter D'Leh (Steven Strait) has long been in love with a beautiful, blue-eyed tribeswoman named Evolet (Camilla Belle). After horseback-riding raiders kidnap most of his D'Leh's fellow tribesmen as well as Evolet, he sets out on a dangerous trek to rescue her from her captors.",2008,"Action & Adventure, Classics, Drama",PG-13,Roland Emmerich,"Harald Kloser, Roland Emmerich","Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zainal, Nathanael Baring, Marco Khan, Reece Ritchie, Joel Fry, Junior Oliphant, Louise Tu'u, David Dennis, Kristian Beazley, Mona Hammond, Jacob Renton, Grayson Hunt Urwin, Fahruq Valley-Omar, Boubacar Badaine, Joe Vaz, Charles Baloyi, Tim Barlow, Gabriel Malema, Mark Simmons, Hannah Westbury, Affif Ben Badra, Mo Zinal, Omar Sharif, Farouk Valley-Omar",0.8,5.1,5.466666666666667,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzc2NDMzNDY4Ml5BMl5BanBnXkFtZTYwNzM2Njk3._V1_UX182_CR0,0,182,268_AL_.jpg",Netflix
3,100 Girls,A collegian (Jonathan Tucker) searches for a woman he met during a blackout in order to see what she looks like.,2000,"Comedy, Romance",R,Michael Davis,Michael Davis,"Jonathan Tucker, Emmanuelle Chriqui, James DeBello, Emmanuelle Chirqui, Katherine Heigl, Larisa Oleynik, Jaime Pressly, Marissa Ribisi, Walker Howard, Johnny Green, Aimee Graham, Ange Billman, Kristina Anapau, Rainbeau Mars, Kristine Herold, Anya Marina, Tamara Krinsky, Josephine Angelini, Julieann Steiger, Eric Szmanda, Ivana Bozilovic, Anita Thomas, John O' Hara, Bradley Ross",6.0,5.8,3.75,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA0MjA5MjM3NDFeQTJeQWpwZ15BbWU4MDMxODU4ODkx._V1_UX182_CR0,0,182,268_AL_.jpg",Amazon Prime
4,101 Dalmatians,"In a Disney animation classic, Dalmatian Pongo is tired of his bachelor-dog life. He spies lovely Perdita and maneuvers his master, Roger, into meeting Perdita's owner, Anita. The owners fall in love and marry, keeping Pongo and Perdita together too. After Perdita gives birth to a litter of 15 puppies, Anita's old school friend Cruella De Vil wants to buy them all. Roger declines her offer, so Cruella hires the criminal Badun brothers to steal them -- so she can have a fur coat.",1996,"Animation, Classics, Comedy, Kids & Family, Mystery & Suspense",G,"Clyde Geronimi, Hamilton S. Luske, Wolfgang Reitherman, Hamilton Luske",Bill Peet,"Betty Lou Gerson, Cate Bauer, Frederick Worlock, J. Pat O'Malley, Tom Conway, Rod Taylor, Ben Wright, Lisa Davis, Martha Wentworth, George Pelling, Mickey Maga, Barbara Beaird, Queenie Leonard, Marjorie Bennett, Tudor Owen, Mimi Gibson, Sandra Abbott, Paul Wexler, Mary Wickes, Barbara Luddy, David Frankham, Frederic Worlock, Ramsey Hill, Sylvia Marriott, Thurl Ravenscroft, Bill Lee, Max Smith, Bob Stevens, Helene Stanley, Donald Barclay, Dal McKennon, Jeanne Bruns",9.8,5.7,5.642857142857143,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDY3NDQ5M2EtNDM5ZC00YWI0LWEwMzctYjA1M2EwOWE1MDVmXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg",Disney Plus
5,102 Dalmatians,"In this all-new tale, Cruella De Vil (Glenn Close) is released from prison on good behavior vowing that she will have nothing to do with fur ever again. She, however, cannot keep this promise and is soon plotting another ""fur-ocious"" scheme to get her ultimate Dalmatian coat. The fun and adventure shift into high gear as Cruella and the dogs romp through Paris.",2000,"Comedy, Kids & Family",G,Kevin Lima,"Kristen Buckley, Noni White, Bob Tzudiker, Brian Regan, Kevin Lima","Glenn Close, Gérard Depardieu, Ioan Gruffudd, Alice Evans, Ian Richardson, Tim McInnerny, Ben Crompton, Carol MacReady, Jim Carter, Ron Cook, Timothy West, David Horovitch, Delphine Annails, Eric Idle, Dick Brannick, Mike Hayley, Nicholas Hutchison, Tim Willcox, June Watson, Tony Bluto, Tessa Vale, John Styles, Kerry Shale, Thierry Lawson, Hugh Futcher, Charles Simon, Dorothea Phillips, Delphine Annaiis",3.1,4.8,6.75,"https://images-na.ssl-images-amazon.com/images/M/MV5BYmEzOTcxNzUtYmVjMS00MzNiLWJjNTEtOTY3MTE2ZjVkMGQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",Disney Plus
6,12 Years a Slave,"In the years before the Civil War, Solomon Northup (Chiwetel Ejiofor), a free black man from upstate New York, is kidnapped and sold into slavery in the South. Subjected to the cruelty of one malevolent owner (Michael Fassbender), he also finds unexpected kindness from another, as he struggles continually to survive and maintain some of his dignity. Then in the 12th year of the disheartening ordeal, a chance meeting with an abolitionist from Canada changes Solomon's life forever.",2013,Drama,R,Steve McQueen (III),John Ridley,"Chiwetel Ejiofor, Michael Fassbender, Benedict Cumberbatch, Paul Giamatti, Brad Pitt, Sarah Paulson, Paul Dano, Lupita Nyong'o, Alfre Woodard, Michael Kenneth Williams, Scoot McNairy, Garret Dillahunt, Dwight Henry, Dickie Gravois, Bryan Batt, Ashley Dyke, Kelsey Scott, Quvenzhane Wallis, Tony Bentley, Taran Killam, Christopher Berry, Bill Camp, Mister Mackey Jr., Chris Chalk, Craig Tate, Adepero Oduye, Storm Reid, Tom Proctor, Marc Macaulay, Vivian Fleming-Alvarez, Douglas M. Griffin, John McConnell, Marcus Lyle Brown, Richard Holden, Robert Steinberg, Anwan Glover, J.C. Victor, Liza J. Bennett, Nicole Collins, J.D. Evermore, Andy Dylan, Deneen D. Tyler, Mustafa Harris, Gregory Bright, Austin Purnell, Thomas Francis Murphy, Andre Shanks, Kelvin Harrison Jr., Scott M. Jefferson, Isaiah Jackson, Topsy Chapman, Devin Maurice Evans, Jay Huguley, Devyn Tyler, Willo Jean-Baptiste, Cameron Zeigler",9.5,8.1,8.397970085470085,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",Hulu
7,127 Hours,"While exploring a remote canyon in Utah, mountaineer and adventurer Aron Ralston (James Franco) becomes trapped when a boulder falls on his arm. Over the next five days, Ralston examines his life and considers his options, leading him to an agonizing choice: to amputate his arm so that he can extricate himself and try to make his way back to civilization or remain pinned to the canyon wall and likely die. Based on Ralston's book, ""Between a Rock and a Hard Place.""",2010,Drama,R,Danny Boyle,"Danny Boyle, Simon Beaufoy","James Franco, Amber Tamblyn, Kate Mara, Kate Burton, Lizzy Caplan, Clémence Poésy, Treat Williams, Peter Joshua, Pieter Jan Brugge, Sean Bolt, Koleman Stinger, John Lawrence, Bailee Michelle Johnson, Rebecca C. Olson, Parker Hadley, Fenton Quinn Jr., Jeffrey Wood, Norman Lehnert, Darin Southam",9.3,7.5,7.709558823529412,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg",Hulu
8,13 Sins,"A desperate, debt-ridden salesman agrees to perform an increasingly hideous set of tasks in order to win millions of dollars.",2014,"Horror, Mystery & Suspense",R,Daniel Stamm,"Daniel Stamm, David Birke","Mark Webber, Rutina Wesley, Devon Graye, Pruitt Taylor Vince, Tom Bower, Ron Perlman, Deneen Tyler, Tom S. Lawson Jr., Sharon Smith, Greg Pearson, Ritchie Montgomery, Brylee Woodard, Sabrina Gennarino, Hugh Ettinger, John McConnell, Robert Larriviere, Jennifer Foreman, Ross Anderson, Judd Lormand, Stephanie Honoré, Thomas Francis Murphy, Bill Scharpf, Donny Boaz, Brittany Alger, Wendy Miklovic, Han Soto, Lance E. Nichols, Joan Rea, Jon Eyez, Christopher Berry, Angela Jones Landry, Stefan Solea, Tyler Forrest, Juliene Joyner, Regis Harrington, Chris Ashworth, Jeffrey Galpin, George Coe, Holly O'Quinn, Richard Burgi, John Grew, Danny Cosmo Higginbottom, Clyde Jones, Nick Epper",6.5,6.3,6.462264150943396,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzA0NDIwNjI3OF5BMl5BanBnXkFtZTgwMDMzNzE0MTE@._V1_UX182_CR0,0,182,268_AL_.jpg",Netflix
9,16 Blocks,"Boozy and world-weary, NYPD Detective Jack Mosley (Bruce Willis) draws a routine assignment to transport trial witness Eddie Bunker (Mos Def) to the courthouse by 10 a.m. The task quickly becomes a deadly game of cat-and-mouse when some of Jack's fellow officers arrive to kill Eddie so that he cannot testify against them. Jack sees a way to redeem his wasted life by protecting the affable Eddie from the would-be assassins.",2006,"Action & Adventure, Drama, Mystery & Suspense",PG-13,Richard Donner,Richard Wenk,"Bruce Willis, Richard Donner, Yasiin Bey, David Morse, Jenna Stern, Casey Sander, Cylk Cozart, David Zayas, Robert Racki, Patrick Garrow, Conrad Pla, Sasha Roiz, Hechter Ubarry, Richard Fitzpatrick, Peter McRobbie, Mike Keenan, Robert Clohessy, Jess Mal Gibbons, Tig Fong, Brenda Pressley, Kim Chan, Carmen Lopez, Scott McCord, David Sparrow, Eduardo Gómez, Sam Kung, Angela Seto, Bernie Henry, Nick Alachiotis, Danny Lima, Claudio Masciulli, Efosa Otuomagie, Christina Orjalo, Richard Wenk, Derek Hoddman, Brian Read, Ryan Wulff, Stephen Kahan, Paul Tuerpé, Cece Neber, Jimmy Chong, Betty Chong, Sam Moses, Kathy Imrie, Jason Burke, Tom Wlaschiha, Scott Douglas, Kameron Louangxay, Victoria Mitchell, Cecil Philips, Rob Weithoff, Jimmy Campbell, Richard Collier, Aaron Ferguson, Bradley Paterson, Paul L.Q. Lee, Heather Dawn, Daryl Dismond, James Lavin, Beatriz Yuste, David Talbolt, Toni Ellwand, Rolando Alvarez Giacoman, Andy Brown",5.6,6.6,6.725,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDEwMzEwMl5BMl5BanBnXkFtZTcwNzM4MTEzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",Netflix
